timestamp,total_addresses
1438214400,9205
1438300800,9361
1438387200,9476
1438473600,9563
1438560000,9639
1438646400,9696
1438732800,9749
1438819200,9790
1438905600,10314
1438992000,10730
1439078400,11004
1439164800,11679
1439251200,13576
1439337600,13913
1439424000,14459
1439510400,15024
1439596800,15407
1439683200,15698
1439769600,15984
1439856000,16268
1439942400,16553
1440028800,16773
1440115200,17070
1440201600,17313
1440288000,17662
1440374400,17839
1440460800,18089
1440547200,18298
1440633600,18508
1440720000,18687
1440806400,18815
1440892800,19017
1440979200,19168
1441065600,19349
1441152000,19500
1441238400,19646
1441324800,19791
1441411200,19955
1441497600,20081
1441584000,20308
1441670400,20433
1441756800,20609
1441843200,20711
1441929600,20897
1442016000,21043
1442102400,21252
1442188800,21409
1442275200,21581
1442361600,21719
1442448000,21826
1442534400,21999
1442620800,22106
1442707200,22230
1442793600,22363
1442880000,22496
1442966400,22648
1443052800,22783
1443139200,22902
1443225600,22964
1443312000,23045
1443398400,23160
1443484800,23283
1443571200,23385
1443657600,23482
1443744000,23563
1443830400,23689
1443916800,23777
1444003200,23909
1444089600,24005
1444176000,24102
1444262400,24168
1444348800,24243
1444435200,24303
1444521600,24359
1444608000,24473
1444694400,24675
1444780800,24906
1444867200,25142
1444953600,25248
1445040000,25356
1445126400,25489
1445212800,25729
1445299200,25828
1445385600,26090
1445472000,26244
1445558400,26449
1445644800,26892
1445731200,27220
1445817600,27534
1445904000,27744
1445990400,27918
1446076800,28188
1446163200,28770
1446249600,29166
1446336000,29676
1446422400,29973
1446508800,30326
1446595200,30608
1446681600,30815
1446768000,30968
1446854400,31514
1446940800,32153
1447027200,32455
1447113600,32634
1447200000,32804
1447286400,32918
1447372800,33055
1447459200,33157
1447545600,33264
1447632000,33376
1447718400,33512
1447804800,33629
1447891200,33765
1447977600,33883
1448064000,33999
1448150400,34447
1448236800,34594
1448323200,34812
1448409600,34913
1448496000,35071
1448582400,35136
1448668800,35204
1448755200,35288
1448841600,35402
1448928000,35508
1449014400,35607
1449100800,35709
1449187200,35879
1449273600,36022
1449360000,36291
1449446400,36437
1449532800,36557
1449619200,36673
1449705600,36820
1449792000,36951
1449878400,37373
1449964800,37569
1450051200,37729
1450137600,37850
1450224000,37990
1450310400,38358
1450396800,38634
1450483200,38756
1450569600,38902
1450656000,39082
1450742400,39208
1450828800,39317
1450915200,39422
1451001600,39537
1451088000,39678
1451174400,39822
1451260800,40010
1451347200,40182
1451433600,40333
1451520000,40566
1451606400,40701
1451692800,40850
1451779200,41000
1451865600,41198
1451952000,41381
1452038400,41647
1452124800,41869
1452211200,42078
1452297600,42411
1452384000,42678
1452470400,43005
1452556800,43351
1452643200,43579
1452729600,43804
1452816000,44209
1452902400,44494
1452988800,44771
1453075200,45167
1453161600,45486
1453248000,45937
1453334400,46362
1453420800,46783
1453507200,47374
1453593600,48105
1453680000,48925
1453766400,49844
1453852800,50637
1453939200,51643
1454025600,52611
1454112000,53598
1454198400,54494
1454284800,55186
1454371200,55768
1454457600,56445
1454544000,57050
1454630400,57863
1454716800,58402
1454803200,58925
1454889600,59593
1454976000,60346
1455062400,61635
1455148800,63947
1455235200,65483
1455321600,66901
1455408000,68010
1455494400,68996
1455580800,69956
1455667200,70919
1455753600,71720
1455840000,73097
1455926400,73761
1456012800,75500
1456099200,76417
1456185600,77363
1456272000,78179
1456358400,79187
1456444800,80568
1456531200,81372
1456617600,82742
1456704000,84582
1456790400,86447
1456876800,88628
1456963200,90921
1457049600,93327
1457136000,96435
1457222400,99307
1457308800,101184
1457395200,103555
1457481600,105944
1457568000,108347
1457654400,109835
1457740800,111755
1457827200,113690
1457913600,115840
1458000000,117680
1458086400,119290
1458172800,120974
1458259200,122851
1458345600,124108
1458432000,125636
1458518400,127167
1458604800,128345
1458691200,129689
1458777600,130970
1458864000,132066
1458950400,133107
1459036800,134131
1459123200,135514
1459209600,137297
1459296000,139755
1459382400,141814
1459468800,142900
1459555200,144015
1459641600,144966
1459728000,146172
1459814400,147380
1459900800,148499
1459987200,149643
1460073600,150453
1460160000,151383
1460246400,152608
1460332800,153660
1460419200,154885
1460505600,156088
1460592000,157073
1460678400,157904
1460764800,158682
1460851200,159556
1460937600,160474
1461024000,161308
1461110400,162317
1461196800,164290
1461283200,165351
1461369600,166350
1461456000,167428
1461542400,168546
1461628800,169724
1461715200,170969
1461801600,172060
1461888000,173151
1461974400,179195
1462060800,181732
1462147200,185706
1462233600,187283
1462320000,188964
1462406400,190554
1462492800,191961
1462579200,193317
1462665600,194961
1462752000,196739
1462838400,198321
1462924800,200962
1463011200,204086
1463097600,206863
1463184000,209138
1463270400,211568
1463356800,213318
1463443200,215820
1463529600,220927
1463616000,224845
1463702400,230158
1463788800,234753
1463875200,237169
1463961600,239919
1464048000,242437
1464134400,245842
1464220800,248713
1464307200,252987
1464393600,265876
1464480000,269270
1464566400,271793
1464652800,274614
1464739200,277124
1464825600,279202
1464912000,281283
1464998400,283172
1465084800,285007
1465171200,287195
1465257600,293517
1465344000,295834
1465430400,298208
1465516800,300769
1465603200,303280
1465689600,306177
1465776000,311130
1465862400,315391
1465948800,318367
1466035200,323909
1466121600,337984
1466208000,352687
1466294400,359236
1466380800,364968
1466467200,369392
1466553600,375128
1466640000,378661
1466726400,382466
1466812800,384815
1466899200,387234
1466985600,389903
1467072000,393251
1467158400,396171
1467244800,398289
1467331200,401254
1467417600,403829
1467504000,407099
1467590400,409961
1467676800,413875
1467763200,416917
1467849600,420028
1467936000,423126
1468022400,427153
1468108800,430282
1468195200,432814
1468281600,436469
1468368000,439291
1468454400,442427
1468540800,445925
1468627200,448149
1468713600,449627
1468800000,452120
1468886400,455066
1468972800,459828
1469059200,463245
1469145600,467682
1469232000,471467
