timestamp,total_addresses,blocksize,price_USD,hashrate,total_eth_growth,market-cap-value,transactions
1438214400.0,9205.0,644.0,0.0,23.7569,72049306.59375,72049306.59375,8893.0
1438300800.0,9361.0,582.0,0.0,48.1584,72085498.3125,72085498.3125,0.0
1438387200.0,9476.0,575.0,0.0,55.2709,72113204.25,72113204.25,0.0
1438473600.0,9563.0,581.0,0.0,64.1779,72141427.6875,72141427.6875,0.0
1438560000.0,9639.0,587.0,0.0,69.8559,72169404.40625,72169404.40625,0.0
1438646400.0,9696.0,587.0,0.0,76.6115,72197882.84375,72197882.84375,0.0
1438732800.0,9749.0,579.0,0.0,81.9449,72225411.4375,72225411.4375,0.0
1438819200.0,9790.0,584.0,0.0,82.9366,72252486.90625,72252486.90625,0.0
1438905600.0,10314.0,633.0,3.0,89.6063,72279924.5625,72279924.5625,2050.0
1438992000.0,10730.0,668.0,1.22,97.6083,72307868.0,72307868.0,2881.0
1439078400.0,11004.0,618.0,0.0,102.5407,72335046.28125,72335046.28125,1329.0
1439164800.0,11679.0,631.0,0.0,113.1109,72362863.625,72362863.625,2037.0
1439251200.0,13576.0,692.0,0.99,126.6631,72390891.4375,72390891.4375,4963.0
1439337600.0,13913.0,653.0,1.3,132.7661,72418262.375,72418262.375,2036.0
1439424000.0,14459.0,666.0,1.91,144.8995,72446530.5,72446530.5,2842.0
1439510400.0,15024.0,660.0,1.8,183.5527,72477637.21875,72477637.21875,3174.0
1439596800.0,15407.0,638.0,1.79,213.9622,72506149.875,72506149.875,2284.0
1439683200.0,15698.0,641.0,1.37,220.8548,72533244.40625,72533244.40625,2440.0
1439769600.0,15984.0,635.0,1.3,245.4865,72561363.3125,72561363.3125,2512.0
1439856000.0,16268.0,648.0,1.36,253.7123,72587526.125,72587526.125,2494.0
1439942400.0,16553.0,653.0,1.25,269.2527,72614808.15625,72614808.15625,3246.0
1440028800.0,16773.0,650.0,1.55,252.3917,72635865.1875,72635865.1875,2303.0
1440115200.0,17070.0,668.0,1.45,263.4014,72662556.125,72662556.125,3919.0
1440201600.0,17313.0,648.0,1.4,298.2545,72690106.59375,72690106.59375,3579.0
1440288000.0,17662.0,681.0,1.38,303.082,72716362.21875,72716362.21875,4190.0
1440374400.0,17839.0,673.0,1.24,314.6624,72743695.5,72743695.5,4432.0
1440460800.0,18089.0,680.0,1.26,309.2154,72770431.59375,72770431.59375,4487.0
1440547200.0,18298.0,669.0,1.17,327.8673,72796569.5625,72796569.5625,4156.0
1440633600.0,18508.0,708.0,1.14,327.6196,72821102.375,72821102.375,5590.0
1440720000.0,18687.0,691.0,1.29,340.1254,72845327.53125,72845327.53125,4758.0
1440806400.0,18815.0,682.0,1.18,339.3919,72867852.53125,72867852.53125,4139.0
1440892800.0,19017.0,689.0,1.31,332.4474,72889306.125,72889306.125,4572.0
1440979200.0,19168.0,731.0,1.31,351.2291,72910599.5625,72910599.5625,5196.0
1441065600.0,19349.0,741.0,1.34,354.1181,72930942.53125,72930942.53125,5153.0
1441152000.0,19500.0,766.0,1.16,349.6263,72949329.875,72949329.875,5195.0
1441238400.0,19646.0,755.0,1.24,331.5756,72966710.8125,72966710.8125,4777.0
1441324800.0,19791.0,762.0,1.24,340.3879,72989792.6875,72989792.6875,5642.0
1441411200.0,19955.0,753.0,1.37,361.5994,73015421.75,73015421.75,5519.0
1441497600.0,20081.0,733.0,1.34,371.3126,73041590.03125,73041590.03125,5521.0
1441584000.0,20308.0,753.0,1.32,360.9598,73067050.5,73067050.5,5702.0
1441670400.0,20433.0,759.0,1.3,352.7229,73092943.0,73092943.0,5622.0
1441756800.0,20609.0,765.0,1.25,368.0392,73119370.65625,73119370.65625,5604.0
1441843200.0,20711.0,730.0,1.16,371.1206,73145814.875,73145814.875,5341.0
1441929600.0,20897.0,736.0,1.01,397.2576,73173054.71875,73173054.71875,6460.0
1442016000.0,21043.0,761.0,1.12,405.6008,73199455.8125,73199455.8125,5596.0
1442102400.0,21252.0,764.0,0.89,412.3321,73225627.21875,73225627.21875,6057.0
1442188800.0,21409.0,771.0,0.96,380.4038,73251215.34375,73251215.34375,5572.0
1442275200.0,21581.0,755.0,0.95,366.6357,73276830.65625,73276830.65625,5409.0
1442361600.0,21719.0,739.0,0.96,362.0796,73303148.78125,73303148.78125,5872.0
1442448000.0,21826.0,753.0,0.92,342.0493,73328584.40625,73328584.40625,5368.0
1442534400.0,21999.0,785.0,0.85,326.1315,73354486.125,73354486.125,5802.0
1442620800.0,22106.0,735.0,0.9,332.9998,73381665.8125,73381665.8125,5205.0
