timestamp,total_eth_growth
1438214400,72049306.59375
1438300800,72085498.31250
1438387200,72113204.25000
1438473600,72141427.68750
1438560000,72169404.40625
1438646400,72197882.84375
1438732800,72225411.43750
1438819200,72252486.90625
1438905600,72279924.56250
1438992000,72307868.00000
1439078400,72335046.28125
1439164800,72362863.62500
1439251200,72390891.43750
1439337600,72418262.37500
1439424000,72446530.50000
1439510400,72477637.21875
1439596800,72506149.87500
1439683200,72533244.40625
1439769600,72561363.31250
1439856000,72587526.12500
1439942400,72614808.15625
1440028800,72635865.18750
1440115200,72662556.12500
1440201600,72690106.59375
1440288000,72716362.21875
1440374400,72743695.50000
1440460800,72770431.59375
1440547200,72796569.56250
1440633600,72821102.37500
1440720000,72845327.53125
1440806400,72867852.53125
1440892800,72889306.12500
1440979200,72910599.56250
1441065600,72930942.53125
1441152000,72949329.87500
1441238400,72966710.81250
1441324800,72989792.68750
1441411200,73015421.75000
1441497600,73041590.03125
1441584000,73067050.50000
1441670400,73092943.00000
1441756800,73119370.65625
1441843200,73145814.87500
1441929600,73173054.71875
1442016000,73199455.81250
1442102400,73225627.21875
1442188800,73251215.34375
1442275200,73276830.65625
1442361600,73303148.78125
1442448000,73328584.40625
1442534400,73354486.12500
1442620800,73381665.81250
1442707200,73409648.46875
1442793600,73436300.34375
1442880000,73462670.65625
1442966400,73489750.96875
1443052800,73516136.75000
1443139200,73543140.18750
1443225600,73569050.50000
1443312000,73594061.59375
1443398400,73618775.81250
1443484800,73643144.25000
1443571200,73668238.00000
1443657600,73695660.03125
1443744000,73722573.15625
1443830400,73749026.90625
1443916800,73774507.06250
1444003200,73800643.93750
1444089600,73825680.50000
1444176000,73851814.09375
1444262400,73878596.28125
1444348800,73904043.93750
1444435200,73929543.62500
1444521600,73956054.40625
1444608000,73982854.40625
1444694400,74009522.68750
1444780800,74035398.31250
1444867200,74061008.78125
1444953600,74086450.18750
1445040000,74112900.81250
1445126400,74138749.09375
1445212800,74164715.81250
1445299200,74190908.31250
1445385600,74216954.71875
1445472000,74242285.50000
1445558400,74269844.09375
1445644800,74296959.09375
1445731200,74323773.31250
1445817600,74349688.62500
1445904000,74377214.87500
1445990400,74403563.31250
1446076800,74431070.34375
1446163200,74458794.25000
1446249600,74486542.06250
1446336000,74514722.21875
1446422400,74541856.43750
1446508800,74569462.21875
1446595200,74597178.62500
1446681600,74624470.03125
1446768000,74651892.21875
1446854400,74678607.53125
1446940800,74705896.59375
1447027200,74732956.12500
1447113600,74760400.18750
1447200000,74788226.75000
1447286400,74816251.28125
1447372800,74844436.43750
1447459200,74872794.09375
1447545600,74900914.25000
1447632000,74928309.40625
1447718400,74956103.00000
1447804800,74983355.03125
1447891200,75009918.46875
1447977600,75035048.93750
1448064000,75061831.12500
1448150400,75088819.71875
1448236800,75116092.06250
1448323200,75142940.18750
1448409600,75169412.06250
1448496000,75195950.50000
1448582400,75223837.37500
1448668800,75251045.34375
1448755200,75278393.15625
1448841600,75305749.40625
1448928000,75333292.21875
1449014400,75359299.25000
1449100800,75387362.53125
1449187200,75414041.90625
1449273600,75440623.78125
1449360000,75466879.56250
1449446400,75493598.46875
1449532800,75519910.96875
1449619200,75548235.03125
1449705600,75575712.37500
1449792000,75602735.18750
1449878400,75629941.75000
1449964800,75657849.09375
1450051200,75684557.68750
1450137600,75711572.21875
1450224000,75738029.56250
1450310400,75764912.68750
1450396800,75791584.25000
1450483200,75818278.78125
1450569600,75844714.87500
1450656000,75871172.68750
1450742400,75898547.06250
1450828800,75925946.43750
1450915200,75952633.00000
1451001600,75979436.59375
1451088000,76005996.75000
1451174400,76032850.50000
1451260800,76059908.46875
1451347200,76086569.56250
1451433600,76113305.81250
1451520000,76140217.84375
1451606400,76166284.40625
1451692800,76193668.31250
1451779200,76221344.09375
1451865600,76248764.71875
1451952000,76276603.93750
1452038400,76304229.40625
1452124800,76331251.59375
1452211200,76359248.31250
1452297600,76386844.09375
1452384000,76414132.06250
1452470400,76441137.21875
1452556800,76467038.00000
1452643200,76493573.31250
1452729600,76520492.53125
1452816000,76547289.87500
1452902400,76573813.00000
1452988800,76600412.84375
1453075200,76627033.00000
1453161600,76653125.81250
1453248000,76679668.31250
1453334400,76705587.53125
1453420800,76731842.53125
1453507200,76757612.21875
1453593600,76784855.18750
1453680000,76810552.21875
1453766400,76837541.43750
1453852800,76863642.21875
1453939200,76890206.90625
1454025600,76916367.37500
1454112000,76942560.50000
1454198400,76968242.37500
1454284800,76994673.62500
1454371200,77020542.06250
1454457600,77047840.03125
1454544000,77074402.37500
1454630400,77100960.96875
1454716800,77127306.75000
1454803200,77153991.43750
1454889600,77180646.43750
1454976000,77207117.53125
1455062400,77233278.78125
1455148800,77259756.59375
1455235200,77286258.62500
1455321600,77313140.18750
1455408000,77339469.25000
1455494400,77365694.56250
1455580800,77392140.34375
1455667200,77417812.37500
1455753600,77444027.21875
1455840000,77470682.68750
1455926400,77497243.46875
1456012800,77523780.03125
1456099200,77550537.84375
1456185600,77576707.84375
1456272000,77603134.71875
1456358400,77629958.46875
1456444800,77656612.53125
1456531200,77682812.37500
1456617600,77709234.40625
1456704000,77734463.93750
1456790400,77760945.03125
1456876800,77787589.25000
1456963200,77813700.50000
1457049600,77839585.81250
1457136000,77866168.00000
1457222400,77891567.68750
1457308800,77917553.15625
1457395200,77943376.28125
1457481600,77969119.56250
1457568000,77995747.06250
1457654400,78022049.56250
1457740800,78048419.71875
1457827200,78075670.18750
1457913600,78102078.15625
1458000000,78133301.75000
1458086400,78164791.90625
1458172800,78196816.43750
1458259200,78228103.62500
1458345600,78260182.06250
1458432000,78291777.21875
1458518400,78323160.18750
1458604800,78354872.06250
1458691200,78386166.12500
1458777600,78418237.21875
1458864000,78450127.06250
1458950400,78482062.37500
1459036800,78513693.15625
1459123200,78544999.71875
1459209600,78576437.53125
